candidate_id,candidate_name,committee_id,committee_name,count,cycle,support_oppose_indicator,total
S0GA00559,"WARNOCK, RAPHAEL",C70000112,AFL-CIO ,44,2022,24F,37410.07
H8NJ05052,"GARRETT, E SCOTT",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),2,2002,S,3888.0
H2SC07108,"TINUBU, GLORIA BROMELL",C70000666,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SER",1,2012,S,472.32
H4ME01095,"LONGLEY, JAMES B JR",C70002878,WHOLESALER-DISTRIBUTORS PAC OF THE NATL ASSOCIATION OF WHOLESALER-DISTRIBUTORS,1,1994,S,13.0
H4OH16016,"GWIN, JAMES S",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),1,1984,S,144.0
H2NY17139,"CARVIN, JOSEPH",C70000112,AFL-CIO ,1,2012,O,102.01
S2OH00113,"DEWINE, RICHARD MICHAEL",C70002563,NATIONAL ASSOCIATION OF REALTORS,1,1994,S,40441.0
,,C70000112,AFL-CIO ,1,2022,24F,93.75
H8MI05017,"SPRIK, DALE ROBERT",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),1,1980,O,2645.0
H2CA38161,"HAVICE, SALLY",C70001227,CALIFORNIA TEACHERS ASSOCIATION,1,2002,S,159.0
H0MD08021,"MORELLA, CONSTANCE A",C70002563,NATIONAL ASSOCIATION OF REALTORS,1,2002,S,10864.0
H0FL02110,"SOUTHERLAND, WILLIAM STEVE II",C70001243,NATIONAL FEDERATION OF INDEPENDENT BUSINESS,1,2012,S,288.78
H0RI02071,"REED, JOHN F",C70000112,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,3,1992,S,3838.0
S6SC00088,"CLOSE, ELLIOTT SPRINGS",C70003041,"INT'L UNION, UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WKRS OF AMERICA-UAW",1,1996,S,1682.0
H6CA24048,"WAXMAN, HENRY A.",C70000112,AFL-CIO COPE POL CONT COMM,1,1982,S,839.0
H2CA33048,"ROYBAL-ALLARD, LUCILLE",C70001227,CALIFORNIA TEACHERS ASSOCIATION,3,1996,S,464.0
H2IL19010,"EVANS, LANE ALLEN",C70000872,NATIONAL CHAMBER ALLIANCE FOR POLITICS OF THE CHAMBER OF COMMERCE FOR THE USA,1,1996,O,18.0
H4IA04048,"GANSKE, JOHN GREG",C70002878,WHOLESALER-DISTRIBUTORS PAC OF THE NATL ASSOCIATION OF WHOLESALER-DISTRIBUTORS,1,1996,S,11.0
S6MT00162,"TESTER, JON",C70003645,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,1,2006,,1069.0
H8CA34068,"NAPOLITANO, GRACE",C70004403,SOUTHWEST REGIONAL COUNCIL OF CARPENTERS,2,2008,S,141.0
H2FL08055,"MICA, JOHN L. MR.",C70000716,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,3,2016,S,1546.29
H4CA00019,"SYBERT, RICHARD",C70002753,NATIONAL FEDERATION OF INDEPENDENT BUSINESS FREE ENTERPRISE POLITICAL ACTION COMMITTEE,1,1994,S,120.0
