candidate_contributions_less_repayments,candidate_id,candidate_last_name,candidate_name,candidate_party_affiliation,cash_on_hand_end,committee_designation,committee_id,committee_name,committee_type,debts_owed_by_committee,disbursements_less_offsets,election_year,exempt_legal_accounting_disbursement,federal_funds,fundraising_disbursements,individual_contributions_less_refunds,net_receipts,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,pac_contributions_less_refunds,party_contributions_less_refunds,repayments_loans_made_by_candidate,repayments_other_loans,rounded_net_receipts,total_contribution_refunds,total_loan_repayments_made,transfers_from_affiliated_committees,transfers_to_other_authorized_committees
13175000.0,P00003392,Clinton,"CLINTON, HILLARY RODHAM",DEM,1574762.1,P,C00431569,HILLARY CLINTON FOR PRESIDENT,P,5943384.58,215825247.98,2008,0.0,0.0,0.0,196842745.66,223866224.95,7305030.2,223054875.18,75403.0,1439279.35,7000.0,0.0,0.0,223.9,21064261.7,0.0,10029144.83,6466214.87
0.0,P60007168,Sanders,"SANDERS, BERNARD",DEM,2589097.37,P,C00696948,BERNIE 2020,P,0.0,206689443.02,2020,0.0,0.0,0.0,198126082.11,211196611.03,3282001.72,209954444.74,17000.0,14702.52,0.0,0.0,0.0,211.2,4428413.87,0.0,12701500.0,6601500.0
5777.5,P00009621,Warren,"WARREN, ELIZABETH ",DEM,178499.13,P,C00693234,"WARREN FOR PRESIDENT, INC.",P,423941.03,126486995.07,2020,0.0,0.0,0.0,114884677.18,127181276.53,2776552.55,128992168.18,271379.44,2123.93,0.0,400000.0,0.0,127.2,1010282.67,400000.0,10415000.0,515782.33
44663735.66,P80003353,Romney,"ROMNEY, MITT",REP,32587.85,P,C00431171,"ROMNEY FOR PRESIDENT, INC.",P,250000.0,105120313.73,2008,0.0,0.0,0.0,59782990.07,105152901.58,1530455.49,106648669.22,2100.0,350802.0,0.0,0.0,2000000.0,105.2,4976448.01,2000000.0,20159.89,0.0
0.0,P00010298,Buttigieg,"BUTTIGIEG, PETE",DEM,6011814.46,P,C00697441,"PETE FOR AMERICA, INC.",P,2726792.53,93912673.57,2020,0.0,0.0,0.0,99756388.15,99924488.03,1174598.65,94910168.64,177103.58,43454.0,65.0,0.0,0.0,99.9,1640660.56,0.0,0.0,0.0
0.0,P60006111,Cruz,"CRUZ, RAFAEL EDWARD 'TED'",REP,33851.52,P,C00574624,CRUZ FOR PRESIDENT ,P,0.0,86526777.35,2016,0.0,0.0,0.0,88737586.02,90203163.84,828925.47,87351002.82,4700.0,93195.14,0.0,0.0,0.0,90.2,3306565.53,0.0,250012.93,3642534.97
0.0,P60005915,Carson,"CARSON, BENJAMIN S.",REP,560750.51,P,C00573519,CARSON AMERICA,P,0.0,63062103.03,2016,0.0,0.0,0.0,62163779.72,63622853.54,145559.52,61671027.72,1536634.83,5588.29,0.0,25000.0,0.0,63.6,1297622.91,25000.0,0.0,0.0
1100000.0,P00003251,Giuliani,"GIULIANI, RUDOLPH W",REP,58846.58,P,C00430512,"RUDY GIULIANI PRESIDENTIAL COMMITTEE, INC.",P,3553760.51,58901794.75,2008,0.0,0.0,0.0,55008874.09,58960641.33,288279.23,59186980.98,3093.0,397258.8,3750.0,0.0,0.0,59.0,6924958.77,0.0,2038268.95,0.0
0.0,P40010977,Haley,"HALEY, NIKKI",REP,6296591.88,P,C00833392,NIKKI HALEY FOR PRESIDENT INC.,P,0.0,50468775.58,2024,0.0,0.0,0.0,46499197.35,56765367.46,232255.19,50679580.77,21450.0,32800.0,0.0,0.0,0.0,56.8,398518.0,0.0,10233370.11,0.0
0.0,P40011793,Kennedy,"KENNEDY, ROBERT F JR.",IND,3915967.64,P,C00836916,TEAM KENNEDY,P,3487265.54,51819849.87,2024,0.0,0.0,0.0,55678242.46,55735817.51,33201.62,51853051.49,0.0,13200.0,0.0,0.0,0.0,55.7,1864262.09,0.0,0.0,0.0
