action_code,action_code_full,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_full,candidate_office_state,committee_id,committee_name,communication_class,communication_type,communication_type_full,cycle,file_number,form_type_code,image_number,original_sub_id,pdf_url,primary_general_indicator,primary_general_indicator_description,purpose,report_type,report_year,schedule_type,schedule_type_full,state_full,sub_id,support_oppose_indicator,tran_id,transaction_amount,transaction_date,transaction_type
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,TX,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,O,EMAIL,2008,342786.0,F7,28039694695,,https://docquery.fec.gov/pdf/695/28039694695/28039694695.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,TEXAS,2060620081090409375,S,F76053012100885,5.0,2008-02-29,24F
A,ADD,,P80002801,,,"MCCAIN, JOHN",P,0,PRESIDENT,,C70002761,NARAL PRO-CHOICE AMERICA,M,O,EMAIL,2008,342788.0,F7,28039691016,,https://docquery.fec.gov/pdf/016/28039691016/28039691016.pdf,G,GENERAL,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,,2060620081090409396,O,F76053012100814,4.0,2008-03-25,24N
A,ADD,,P80003338,,,"OBAMA, BARACK",P,,PRESIDENT,OH,C70004510,CHANGE TO WIN,M,O,WORKSITE FLYER,2008,342796.0,F7,28039672608,,https://docquery.fec.gov/pdf/608/28039672608/28039672608.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,OHIO,2060620081090409450,S,F76053012110813,2500.0,2008-02-29,24F
A,ADD,,P80003338,,,"OBAMA, BARACK",P,,PRESIDENT,RI,C70004510,CHANGE TO WIN,M,O,WORKSITE FLYER,2008,342796.0,F7,28039672608,,https://docquery.fec.gov/pdf/608/28039672608/28039672608.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,RHODE ISLAND,2060620081090409464,S,F76053012110827,4381.0,2008-02-27,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,OH,C70004650,OPEIU,M,O,CANVASSING,2008,342799.0,F7,28039694972,,https://docquery.fec.gov/pdf/972/28039694972/28039694972.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,OHIO,2060620081090409486,S,F7605301211086,17367.0,2008-03-04,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892182,,https://docquery.fec.gov/pdf/182/28039892182/28039892182.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894412,S,F7606230827082,30.0,2008-10-01,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892182,,https://docquery.fec.gov/pdf/182/28039892182/28039892182.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894436,S,F76062308270826,106.0,2008-10-01,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892184,,https://docquery.fec.gov/pdf/184/28039892184/28039892184.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894512,S,F760623082708102,53.0,2008-10-04,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892185,,https://docquery.fec.gov/pdf/185/28039892185/28039892185.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894523,S,F760623082708113,28.0,2008-10-04,24F
A,ADD,,S0NH00219,,,"SHAHEEN,",S,,SENATE,NH,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892185,,https://docquery.fec.gov/pdf/185/28039892185/28039892185.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW HAMPSHIRE,2062620091115894528,S,F760623082708118,0.0,2008-10-04,24F
